time,theta_0_rad,omega_0_rad_per_s,theta_1_rad,omega_1_rad_per_s,theta_2_rad,omega_2_rad_per_s
0.0,-0.3490658503988659,0.0,0.0,0.0,0.0,0.0
0.001000000000000002,-0.34905915031352136,-7.454131444818157e-07,7.561140230264575e-07,0.013400111428772234,-0.0014908120295779022,0.0015122139115013972
0.0020000000000000044,-0.3490390503773124,-2.981570998924453e-06,3.024375319225293e-06,0.026799618944768004,-0.0029814648795636256,0.0030242703128034315
0.003000000000000007,-0.3490055514425005,-6.7082407697053595e-06,6.804553685021581e-06,0.04019802585453926,-0.004471811329962758,0.004536023825458299
0.004000000000000005,-0.3489586548580274,-1.1925042472518046e-05,1.2096273568575422e-05,0.05359483549270812,-0.005961704224511966,0.00604732913665547
0.0049999999999999645,-0.34889836246948175,-1.8631449011425865e-05,1.8899014151226614e-05,0.06698955123203203,-0.007450996501316115,0.007558041030828314
0.005999999999999924,-0.34882467661905664,-2.6826786288524776e-05,2.7212109460518506e-05,0.08038167649347341,-0.00893954122342575,0.009068014421203082
0.006999999999999883,-0.34873760014549504,-3.65102333441456e-05,3.703474851473449e-05,0.09377071475627545,-0.010427191609335392,0.010577104381271484
0.007999999999999842,-0.3486371363840283,-4.7680822527506755e-05,4.836597549886067e-05,0.10715616956804556,-0.011913801063383262,0.012085166176168007
0.008999999999999802,-0.34852328916630143,-6.033743969770962e-05,6.120468997187075e-05,0.12053754455484818,-0.01339922320603318,0.013592055293933699
0.00999999999999976,-0.3483960628202897,-7.447882445494872e-05,7.554964710521028e-05,0.1339143434313083,-0.014883311904019427,0.015097627476647493
0.01099999999999972,-0.34825546217020575,-9.010357040179061e-05,9.139945795233821e-05,0.14728607001072747,-0.01636592130033552,0.01660173875140722
0.01199999999999968,-0.3481014925363947,-0.00010721012543435511,0.00010875258974916657,0.16065222821521305,-0.017846905844048123,0.018104245461141855
0.012999999999999639,-0.3479341597352212,-0.00012579679206321554,0.00012760736624522099,0.17401232208582393,-0.019326120319917376,0.019605004295237094
0.013999999999999598,-0.34775347007894575,-0.00014586172776381485,0.00014796196806532547,0.18736585579273218,-0.02080341987780512,0.0211038723199567
0.014999999999999557,-0.3475594303755888,-0.00016740294535617627,0.00016981443310159982,0.2007123336454028,-0.02227866006185288,0.02260070700864182
0.015999999999999518,-0.34735204792878804,-0.0001904183134136696,0.0001931626569355375,0.21405126010279424,-0.023751696839411526,0.024095366271671383
0.016999999999999477,-0.3471313305376435,-0.0002149055567005743,0.0002180043932899177,0.227382139783579,-0.025222386629704944,0.025587708486166174
0.017999999999999437,-0.34689728649655216,-0.00024086225663816813,0.00024433725451028585,0.24070447747638776,-0.026690586332210067,0.027077592525420212
0.018999999999999396,-0.3466499245950324,-0.0002682858517990446,0.0002721587120757235,0.2540177781500771,-0.02815615335473643,0.028564877788042925
0.019999999999999355,-0.34638925411754057,-0.00029717363842935416,0.00030146609713860756,0.26732154696402183,-0.02961894564118803,0.03004942422679601
0.020999999999999314,-0.3461152848432734,-0.0003275227709986416,0.00033225660109304823,0.2806152892784345,-0.031078821698991187,0.031531092377109396
0.021999999999999274,-0.3458280270459623,-0.00035933026277693616,0.0003645272761716754,0.2938985106647143,-0.032535640626172216,0.03300974338526063
0.022999999999999233,-0.3455274914936581,-0.00039259298643873895,0.0003982750360704311,0.3071707169158218,-0.033989262138068806,0.03448523903620319
0.023999999999999192,-0.3452136894485033,-0.00042730767469353166,0.00043349665660100654,0.3204314140566875,-0.035439546593660144,0.03595744178102843
0.02499999999999915,-0.3448866326664952,-0.0004634709209424181,0.0004701887763705532,0.33368010835464834,-0.036886355021500034,0.03742621476404773
0.02599999999999911,-0.3445463333972378,-0.0005010791799604953,0.0005083478974882819,0.3469163063299217,-0.03832954914523908,0.03889142184948039
0.02699999999999907,-0.34419280438368427,-0.0005401287686045337,0.0005479703862985427,0.3601395147661099,-0.039768991408721005,0.040352927647734106
0.02799999999999903,-0.34382605886186884,-0.0005806158665455369,0.0005890524741399811,0.37334924072073833,-0.04120454500063962,0.04181059754126541
0.02899999999999899,-0.34344611056062585,-0.0006225365170257311,0.0006315902581303377,0.3865449915358342,-0.04263607387874284,0.04326429771000704
0.029999999999998948,-0.34305297370130133,-0.0006658866276395288,0.0006755797019764504,0.39972627484853857,-0.04406344279357088,0.04471389515635059
0.030999999999998907,-0.3426466629974521,-0.0007106619711379907,0.0007210166368090191,0.4128925986017561,-0.04548651731171601,0.04615925772967275
0.031999999999999126,-0.34222719365453497,-0.0007568581862563028,0.000767896762041655,0.4260434710548461,-0.04690516383859176,0.047600254150394275
0.03299999999999943,-0.3417945813695841,-0.0008044707785637748,0.0008162156462537581,0.43917840079435094,-0.048319249640700036,0.04903675403356058
0.03399999999999974,-0.34134884233087975,-0.0008534951213358492,0.0008659687280967304,0.4522968967447665,-0.04972864286738479,0.050468627911934565
0.035000000000000045,-0.34088999321760366,-0.0009039264564475999,0.0009171513172230278,0.46539846817935154,-0.05113321257206187,0.05189574725859141
0.03600000000000035,-0.34041805119948576,-0.0009557598952881981,0.0009697585952375655,0.47848262473098097,-0.05253282873291447,0.053317984509006926
0.03700000000000066,-0.339933033936439,-0.001008990419695804,0.0010237856166709443,0.4915488764030402,-0.053927362273044836,0.05473521308263008
0.038000000000000964,-0.33943495957818254,-0.0010636128829123255,0.0010792273099739904,0.504596733580363,-0.05531668508007263,0.05614730740393241
0.03900000000000127,-0.33892384676385556,-0.0011196220105575058,0.0011360784785330864,0.5176257070402118,-0.056700670025171214,0.05755414292292651
